id,t,u,v,w,x,y,z,ts_in,ts_out
45547,0.373,0.538,0.173,0.997,0.669,0.65,0.191,153,1110
45548,0.549,0.048,0.869,0.246,0.382,0.066,0.235,664,1623
45549,0.971,0.052,0.254,0.194,0.769,0.767,0.912,520,910
45550,0.395,0.118,0.457,0.307,0.648,0.16,0.305,507,952
45551,0.405,0.43,0.593,0.255,0.567,0.053,0.902,921,1562
45552,0.699,0.522,0.856,0.704,0.691,0.816,0.385,471,1879
45553,0.86,0.164,0.991,0.107,0.72,0.756,0.642,46,1426
45554,0.172,0.709,0.537,0.974,0.574,0.306,0.06,80,975
45555,0.533,0.916,0.231,0.962,0.778,0.434,0.928,28,1082
45556,0.673,0.376,0.191,0.107,0.394,0.393,0.134,871,1125
45557,0.266,0.752,0.842,0.597,0.937,0.453,0.846,984,1778
45558,0.182,0.532,0.367,0.694,0.999,0.351,0.472,752,1103
45559,0.501,0.756,0.994,0.791,0.896,0.607,0.006,222,714
45560,0.309,0.084,0.204,0.907,0.968,0.372,0.026,948,1068
45561,0.929,0.299,0.894,0.472,0.233,0.874,0.194,4,443
45562,0.509,0.074,0.04,0.841,0.762,0.5,0.234,193,1252
45563,0.662,0.128,0.174,0.45,0.119,0.805,0.075,683,958
45564,0.15,0.17,0.81,0.557,0.037,0.959,0.427,505,703
45565,0.412,0.51,0.197,0.947,0.309,0.7,0.686,506,1318
45566,0.065,0.22,0.729,0.841,0.369,0.291,0.391,432,1067
45567,0.179,0.97,0.314,0.163,0.367,0.654,0.137,628,932
45568,0.884,0.543,0.017,0.195,0.815,0.297,0.676,705,1777
45569,0.861,0.257,0.381,0.941,0.343,0.934,0.828,603,962
45570,0.032,0.484,0.962,0.364,0.565,0.737,0.775,688,1098
45571,0.976,0.218,0.63,0.303,0.758,0.381,0.642,985,1982
45572,0.826,0.706,0.649,0.059,0.087,0.917,0.608,786,808
45573,0.688,0.124,0.465,0.309,0.036,0.658,0.512,77,168
45574,0.505,0.524,0.82,0.819,0.141,0.904,0.553,902,1304
45575,0.363,0.679,0.116,0.315,0.861,0.536,0.813,559,1104
45576,0.656,0.918,0.363,0.483,0.269,0.279,0.979,63,179
45577,0.753,0.693,0.718,0.631,0.631,0.444,0.611,391,562
45578,0.459,0.312,0.927,0.874,0.137,0.833,0.745,649,981
45579,0.94,0.083,0.28,0.132,0.962,0.227,0.41,627,1944
45580,0.934,0.716,0.614,0.133,0.97,0.229,0.735,315,1466
45581,0.931,0.62,0.534,0.268,0.114,0.334,0.923,963,1007
45582,0.775,0.521,0.939,0.771,0.55,0.374,0.216,607,1194
45583,0.171,0.093,0.214,0.289,0.291,0.346,0.143,934,1699
45584,0.03,0.697,0.673,0.192,0.435,0.374,0.873,711,1772
45585,0.082,0.582,0.156,0.72,0.967,0.946,0.182,14,1747
45586,0.927,0.747,0.584,0.527,0.779,0.842,0.958,35,636
45587,0.665,0.35,0.856,0.659,0.79,0.011,0.497,657,1221
45588,0.708,0.825,0.451,0.713,0.497,0.496,0.408,782,1182
45589,0.72,0.764,0.991,0.061,0.965,0.452,0.745,172,842
45590,0.848,0.806,0.219,0.919,0.692,0.69,0.24,674,1930
45591,0.072,0.722,0.968,0.639,0.196,0.788,0.16,91,1550
45592,0.306,0.836,0.375,0.622,0.111,0.955,0.685,495,1622
45593,0.887,0.793,0.977,0.728,0.125,0.427,0.045,139,175
45594,0.445,0.374,0.136,0.211,0.089,0.771,0.931,366,1226
45595,0.233,0.48,0.378,0.771,0.451,0.001,0.013,996,1396
45596,0.156,0.022,0.096,0.091,0.802,0.733,0.761,443,1714
45597,0.194,0.398,0.791,0.727,0.048,0.384,0.24,445,613
45598,0.682,0.731,0.417,0.41,0.46,0.686,0.089,350,625
45599,0.965,0.407,0.788,0.11,0.343,0.121,0.055,637,1765
45600,0.785,0.17,0.91,0.553,0.718,0.382,0.304,163,864
45601,0.393,0.097,0.734,0.482,0.852,0.367,0.671,845,1629
45602,0.124,0.181,0.154,0.89,0.597,0.97,0.304,210,1280
45603,0.043,0.492,0.065,0.338,0.052,0.426,0.153,487,1535
45604,0.897,0.461,0.925,0.928,0.667,0.087,0.768,456,1863
45605,0.349,0.571,0.572,0.405,0.411,0.728,0.283,701,1498
45606,0.667,0.179,0.974,0.212,0.526,0.339,0.928,232,1737
45607,0.13,0.928,0.413,0.204,0.272,0.194,0.709,480,1712
45608,0.589,0.32,0.324,0.447,0.741,0.743,0.084,747,1615
45609,0.489,0.964,0.111,0.48,0.583,0.137,0.537,963,1450
45610,0.024,0.682,0.651,0.499,0.77,0.87,0.042,495,1239
45611,0.719,0.799,0.169,0.805,0.796,0.022,0.825,498,1707
45612,0.451,0.658,0.498,0.251,0.15,0.263,0.242,70,1877
45613,0.414,0.688,0.685,0.781,0.948,0.603,0.539,500,599
45614,0.608,0.574,0.287,0.064,0.23,0.623,0.87,92,193
45615,0.478,0.606,0.276,0.454,0.891,0.834,0.631,739,1768
45616,0.346,0.395,0.318,0.433,0.053,0.881,0.714,146,936
45617,0.039,0.864,0.296,0.097,0.782,0.554,0.424,105,747
45618,0.284,0.139,0.936,0.501,0.743,0.446,0.847,172,183
45619,0.381,0.312,0.602,0.291,0.215,0.748,0.086,556,933
45620,0.934,0.854,0.178,0.038,0.268,0.099,0.414,769,1319
45621,0.832,0.265,0.398,0.019,0.219,0.044,0.382,724,1183
45622,0.768,0.768,0.601,0.951,0.898,0.966,0.175,196,1348
45623,0.961,0.847,0.929,0.884,0.292,0.258,0.491,708,824
45624,0.582,0.0,0.21,0.954,0.297,0.87,0.372,609,1088
45625,0.263,0.981,0.975,0.347,0.306,0.903,0.271,189,1988
45626,0.389,0.456,0.72,0.08,0.456,0.115,0.603,381,975
45627,0.379,0.423,0.607,0.565,0.331,0.702,0.068,148,412
45628,0.941,0.872,0.332,0.102,0.603,0.476,0.614,125,888
45629,0.584,0.335,0.368,0.274,0.411,0.472,0.181,482,690
45630,0.985,0.568,0.643,0.839,0.335,0.148,0.956,429,925
45631,0.95,0.26,0.876,0.576,0.503,0.143,0.478,54,685
45632,0.868,0.542,0.872,0.395,0.532,0.565,0.566,808,1145
45633,0.333,0.055,0.158,0.04,0.057,0.383,0.631,243,785
45634,0.844,0.427,0.943,0.639,0.662,0.416,0.205,67,788
45635,0.761,0.643,0.758,0.03,0.366,0.011,0.266,512,1737
45636,0.647,0.202,0.19,0.772,0.638,0.119,0.968,300,1516
45637,0.547,0.684,0.819,0.403,0.541,0.622,0.289,922,1609
45638,0.389,0.851,0.256,0.3,0.474,0.222,0.817,27,1928
45639,0.657,0.663,0.473,0.808,0.785,0.927,0.188,893,987
45640,0.439,0.493,0.27,0.612,0.713,0.775,0.035,524,1662
45641,0.502,0.132,0.975,0.497,0.053,0.911,0.403,323,463
45642,0.891,0.696,0.791,0.487,0.31,0.975,0.969,146,1098
45643,0.534,0.184,0.648,0.043,0.257,0.792,0.611,470,1316
45644,0.55,0.562,0.055,0.83,0.884,0.088,0.232,256,1150
45645,0.712,0.295,0.741,0.047,0.916,0.082,0.631,9,458
45646,0.491,0.023,0.204,0.713,0.558,0.292,0.87,872,1888
45647,0.063,0.986,0.983,0.508,0.709,0.198,0.783,231,1762
45648,0.084,0.416,0.389,0.812,0.064,0.204,0.523,213,1388
45649,0.479,0.325,0.396,0.925,0.809,0.279,0.345,450,1717
45650,0.404,0.04,0.758,0.627,0.533,0.781,0.096,725,1423
45651,0.118,0.602,0.052,0.185,0.418,0.583,0.715,998,1217
45652,0.373,0.938,0.757,0.661,0.218,0.587,0.324,179,1250
45653,0.845,0.087,0.564,0.093,0.299,0.946,0.686,588,701
45654,0.86,0.004,0.086,0.475,0.675,0.446,0.581,938,1570
45655,0.8,0.957,0.791,0.927,0.29,0.293,0.007,200,1600
45656,0.64,0.057,0.522,0.678,0.223,0.127,0.419,58,612
45657,0.751,0.762,0.925,0.788,0.914,0.475,0.508,124,1931
45658,0.661,0.209,0.798,0.902,0.495,0.055,0.993,631,1281
45659,0.208,0.282,0.074,0.492,0.111,0.341,0.9,876,1528
45660,0.707,0.367,0.836,0.698,0.032,0.767,0.673,217,1659
45661,0.986,0.266,0.719,0.415,0.23,0.454,0.616,152,1774
45662,0.813,0.788,0.506,0.918,0.926,0.774,0.747,905,1968
45663,0.328,0.18,0.81,0.286,0.525,0.397,0.372,248,1343
45664,0.442,0.43,0.731,0.979,0.389,0.237,0.246,403,420
45665,0.158,0.82,1.0,0.275,0.906,0.274,0.301,570,1814
45666,0.767,0.044,0.937,0.644,0.362,0.744,0.425,509,1833
45667,0.501,0.455,0.269,0.342,0.367,0.748,0.932,532,1833
45668,0.05,0.402,0.284,0.708,0.298,0.238,0.797,645,1470
45669,0.734,0.746,0.563,0.343,0.314,0.466,0.211,57,131
45670,0.929,0.908,0.007,0.961,0.801,0.352,0.569,408,1773
45671,0.075,0.109,0.138,0.935,0.866,0.582,0.572,391,467
45672,0.514,0.091,0.265,0.795,0.194,0.316,0.945,170,987
45673,0.224,0.468,0.94,0.969,0.238,0.828,0.151,99,424
45674,0.702,0.865,0.488,0.462,0.56,0.553,0.362,731,1117
45675,0.084,0.531,0.261,0.37,0.016,0.494,0.94,882,1923
45676,0.187,0.205,0.66,0.893,0.811,0.484,0.19,664,1316
45677,0.895,0.722,0.857,0.108,0.541,0.773,0.882,69,107
45678,0.071,0.366,0.308,0.766,0.314,0.823,0.187,333,1661
45679,0.997,0.732,0.336,0.517,0.448,0.767,0.213,992,1446
45680,0.991,0.988,0.009,0.392,0.575,0.809,0.244,518,1027
45681,0.877,0.612,0.731,0.998,0.379,0.015,0.972,283,1907
45682,0.391,0.324,0.203,0.676,0.019,0.388,0.56,183,278
45683,0.685,0.687,0.098,0.983,0.696,0.471,0.685,584,1269
45684,0.06,0.612,0.943,0.032,0.673,0.627,0.786,661,1924
45685,0.403,0.517,0.54,0.967,0.574,0.797,0.853,109,1083
45686,0.295,0.551,0.028,0.025,0.239,0.004,0.26,261,669
45687,0.0,0.157,0.053,0.394,0.319,0.612,0.959,647,753
45688,0.8,0.604,0.33,0.003,0.562,0.014,0.058,561,817
45689,0.477,0.44,0.307,0.912,0.283,0.014,0.078,777,1084
45690,0.273,0.727,0.102,0.592,0.61,0.533,0.316,870,1815
45691,0.933,0.243,0.583,0.459,0.726,0.761,0.598,132,869
45692,0.182,0.655,0.001,0.752,0.108,0.631,0.432,751,1830
45693,0.285,0.669,0.17,0.889,0.244,0.232,0.445,356,1665
45694,0.083,0.599,0.174,0.018,0.445,0.557,0.739,701,1343
45695,0.069,0.187,0.239,0.974,0.865,0.88,0.748,969,1381
45696,0.597,0.418,0.746,0.46,0.919,0.889,0.463,186,1526
45697,0.35,0.329,0.8,0.093,0.245,0.625,0.59,553,765
45698,0.794,0.765,0.631,0.409,0.622,0.38,0.665,823,1483
45699,0.401,0.541,0.208,0.858,0.699,0.347,0.329,873,1103
45700,0.661,0.144,0.757,0.341,0.402,0.604,0.273,80,345
45701,0.577,0.604,0.8,0.59,0.573,0.171,0.371,259,1857
45702,0.662,0.709,0.293,0.687,0.474,0.283,0.565,496,1874
45703,0.03,0.268,0.392,0.285,0.151,0.575,0.597,451,758
45704,0.865,0.452,0.313,0.588,0.766,0.716,0.175,794,1242
45705,0.719,0.409,0.015,0.391,0.173,0.099,0.705,8,1819
45706,0.087,0.726,0.738,0.886,0.86,0.67,0.125,933,1453
45707,0.974,0.872,0.142,0.986,0.208,0.048,0.938,12,466
45708,0.093,0.034,0.931,0.049,0.812,0.159,0.567,912,1520
45709,0.899,0.413,0.366,0.558,0.608,0.001,0.838,289,1917
45710,0.418,0.536,0.475,0.061,0.196,0.489,0.331,861,1807
45711,0.006,0.207,0.989,0.765,0.947,0.479,0.488,164,1743
45712,0.618,0.006,0.342,0.115,0.499,0.499,0.045,115,1569
45713,0.751,0.313,0.677,0.042,0.193,0.503,0.872,555,857
45714,0.237,0.241,0.523,0.536,0.366,0.088,0.226,309,638
45715,0.609,0.488,0.785,0.557,0.083,0.694,0.034,688,1394
45716,0.922,0.121,0.876,0.697,0.654,0.788,0.117,826,1786
45717,0.853,0.095,0.421,0.277,0.356,0.208,0.398,712,1086
45718,0.912,0.47,0.964,0.903,0.825,0.029,0.338,952,1479
45719,0.362,0.213,0.844,0.755,0.139,0.035,0.965,590,1669
45720,0.654,0.987,0.39,0.701,0.823,0.338,0.5,263,338
45721,0.639,0.233,0.07,0.16,0.145,0.504,0.904,780,1432
45722,0.63,0.363,0.718,0.643,0.271,0.484,0.966,677,1080
45723,0.224,0.889,0.238,0.153,0.781,0.121,0.551,489,1913
45724,0.761,0.909,0.07,0.409,0.607,0.914,0.546,861,1695
45725,0.145,0.875,0.739,0.443,0.377,0.113,0.454,876,1222
45726,0.991,0.279,0.247,0.664,0.606,0.151,0.811,547,1680
45727,0.539,0.562,0.993,0.042,0.793,0.293,0.344,48,373
45728,0.745,0.102,0.845,0.478,0.704,0.721,0.209,416,1332
45729,0.286,0.613,0.109,0.484,0.163,0.252,0.999,762,1527
45730,0.296,0.348,0.803,0.839,0.871,0.753,0.272,419,847
45731,0.525,0.632,0.934,0.67,0.524,0.248,0.727,34,1098
45732,0.513,0.79,0.368,0.555,0.959,0.67,0.728,674,1299
45733,0.494,0.706,0.12,0.899,0.462,0.374,0.264,362,529
45734,0.272,0.914,0.084,0.97,0.528,0.213,0.36,866,1763
45735,0.209,0.891,0.941,0.781,0.056,0.998,0.772,663,1258
45736,0.228,0.786,0.669,0.621,0.046,0.934,0.392,982,1219
45737,0.293,0.73,0.901,0.403,0.543,0.692,0.484,263,418
45738,0.018,0.439,0.538,0.715,0.538,0.579,0.846,312,955
45739,0.09,0.043,0.068,0.018,0.532,0.864,0.927,943,1657
45740,0.261,0.112,0.58,0.905,0.838,0.291,0.752,149,1535
45741,0.521,0.694,0.453,0.002,0.715,0.097,0.348,668,1361
45742,0.46,0.306,0.535,0.273,0.242,0.826,0.656,475,500
45743,0.589,0.274,0.147,0.525,0.04,0.704,0.023,635,832
45744,0.916,0.76,0.552,0.867,0.309,0.167,0.675,783,1298
45745,0.422,0.241,0.113,0.366,0.176,0.29,0.664,503,560
45746,0.09,0.38,0.289,0.376,0.781,0.135,0.087,570,1802
45747,0.966,0.853,0.755,0.722,0.915,0.032,0.292,604,884
45748,0.625,0.512,0.198,0.443,0.261,0.756,0.754,771,1466
45749,0.881,0.161,0.019,0.403,0.011,0.962,0.914,266,1329
45750,0.149,0.618,0.875,0.183,0.194,0.839,0.971,774,1862
45751,0.863,0.245,0.684,0.245,0.758,0.23,0.536,502,860
45752,0.966,0.795,0.729,0.223,0.545,0.926,0.665,32,814
45753,0.024,0.315,0.57,0.551,0.926,0.499,0.953,129,184
45754,0.833,0.652,0.104,0.809,0.546,0.569,0.127,916,1764
45755,0.44,0.928,0.068,0.237,0.531,0.322,0.963,137,1962
45756,0.389,0.373,0.799,0.032,0.686,0.259,0.535,975,1449
45757,0.551,0.595,0.181,0.123,0.14,0.482,0.123,499,647
45758,0.417,0.096,0.161,0.196,0.205,0.367,0.552,162,1662
45759,0.121,0.818,0.685,0.654,0.5,0.251,0.2,418,754
45760,0.804,0.67,0.098,0.261,0.357,0.383,0.398,464,624
45761,0.785,0.144,0.251,0.597,0.368,0.61,0.243,612,1738
45762,0.94,0.598,0.124,0.112,0.169,0.976,0.019,710,938
45763,0.213,0.996,0.433,0.739,0.16,0.131,0.121,992,1624
45764,0.834,0.698,0.027,0.146,0.848,0.354,0.129,784,996
45765,0.988,0.605,0.871,0.979,0.559,0.134,0.881,606,982
45766,0.391,0.219,0.438,0.477,0.072,0.825,0.78,223,241
45767,0.25,0.144,0.843,0.197,0.203,0.204,0.834,742,1393
45768,0.558,0.251,0.813,0.816,0.217,0.652,0.271,789,1215
45769,0.323,0.08,0.915,0.043,0.266,0.171,0.411,446,1523
45770,0.886,0.996,0.208,0.913,0.298,0.489,0.849,98,900
45771,0.992,0.569,0.603,0.523,0.905,0.509,0.2,201,1218
45772,0.688,0.926,0.892,0.848,0.221,0.931,0.244,243,1642
45773,0.386,0.346,0.683,0.638,0.993,0.028,0.913,403,1334
45774,0.113,0.948,0.373,0.121,0.625,0.472,0.653,290,985
45775,0.125,0.539,0.612,0.911,0.375,0.425,0.167,312,1749
45776,0.054,0.285,0.944,0.178,0.087,0.639,0.384,819,966
45777,0.186,0.291,0.313,0.467,0.532,0.799,0.306,79,1582
45778,0.739,0.694,0.293,0.013,0.88,0.309,0.714,971,1356
45779,0.397,0.047,0.288,0.422,0.427,0.783,0.38,201,1814
45780,0.837,0.092,0.024,0.549,0.678,0.999,0.694,882,1979
45781,0.07,0.02,0.026,0.622,0.776,0.439,0.42,765,1618
45782,0.264,0.94,0.683,0.936,0.689,0.559,0.804,433,1631
45783,0.657,0.445,0.036,0.034,0.802,0.941,0.93,238,1280
45784,0.498,0.877,0.059,0.347,0.219,0.485,0.975,275,1717
45785,0.964,0.704,0.604,0.893,0.097,0.74,0.328,617,983
45786,0.462,0.516,0.633,0.838,0.913,0.103,0.155,910,1735
45787,0.791,0.678,0.982,0.048,0.451,0.715,0.285,767,1314
45788,0.115,0.074,0.617,0.997,0.988,0.46,0.048,47,764
45789,0.218,0.071,0.143,0.219,0.603,0.136,0.945,212,1700
45790,0.198,0.032,0.431,0.779,0.036,0.609,0.07,985,1675
45791,0.156,0.674,0.881,0.106,0.094,0.204,0.664,249,1422
45792,0.816,0.558,0.3,0.642,0.96,0.857,0.266,272,1935
45793,0.475,0.289,0.539,0.986,0.056,0.058,0.088,554,1289
45794,0.507,0.554,0.815,0.626,0.662,0.785,0.43,928,983
45795,0.052,0.751,0.653,0.178,0.937,0.988,0.612,56,1955
45796,0.914,0.93,0.004,0.803,0.501,0.012,0.88,411,539
45797,0.776,0.982,0.748,0.226,0.747,0.558,0.236,755,1775
45798,0.296,0.008,0.278,0.763,0.906,0.749,0.395,906,988
45799,0.808,0.864,0.121,0.736,0.52,0.746,0.266,82,1980
45800,0.212,0.088,0.417,0.227,0.241,0.01,0.804,547,1898
45801,0.212,0.024,0.212,0.544,0.34,0.986,0.888,905,1557
45802,0.194,0.125,0.723,0.046,0.06,0.402,0.937,934,1449
45803,0.735,0.884,0.157,0.547,0.567,0.952,0.03,247,826
45804,0.922,0.034,0.426,0.227,0.595,0.672,0.783,172,808
45805,0.918,0.13,0.536,0.543,0.534,0.393,0.316,51,1211
45806,0.787,0.221,0.647,0.546,0.4,0.954,0.423,983,1479
45807,0.341,0.278,0.458,0.869,0.878,0.521,0.355,984,1778
45808,0.346,0.623,0.961,0.513,0.971,0.322,0.685,134,1111
45809,0.143,0.35,0.098,0.119,0.401,0.565,0.883,199,1666
45810,0.083,0.27,0.259,0.782,0.7,0.55,0.805,102,840
45811,0.203,0.853,0.091,0.837,0.507,0.142,0.972,484,1268
45812,0.706,0.607,0.515,0.943,0.79,0.38,0.099,161,1909
45813,0.73,0.865,0.508,0.227,0.534,0.072,0.131,858,1152
45814,0.688,0.833,0.143,0.745,0.781,0.86,0.923,874,934
45815,0.331,0.856,0.134,0.617,0.146,0.912,0.171,560,1312
45816,0.205,0.837,0.497,0.339,0.452,0.46,0.254,266,1600
45817,0.563,0.926,0.664,0.04,0.587,0.552,0.517,535,798
45818,0.4,0.86,0.898,0.94,0.23,0.173,0.507,721,1686
45819,0.502,0.419,0.041,0.789,0.504,0.901,0.558,166,496
45820,0.676,0.651,0.621,0.105,0.791,0.313,0.775,652,1574
45821,0.673,0.291,0.665,0.147,0.451,0.377,0.977,646,987
45822,0.698,0.07,0.715,0.968,0.799,0.595,0.67,527,1122
45823,0.137,0.506,0.738,0.009,0.031,0.511,0.798,930,1519
45824,0.678,0.771,0.967,0.546,0.24,0.608,0.996,452,1408
45825,0.975,0.237,0.717,0.263,0.578,0.377,0.523,196,1945
45826,0.946,0.444,0.409,0.949,0.232,0.789,0.21,27,1141
45827,0.392,0.842,0.191,0.14,0.485,0.435,0.389,151,440
45828,0.474,0.06,0.695,0.929,0.426,0.01,0.443,563,1251
45829,0.004,0.218,0.557,0.702,0.237,0.132,0.226,197,1394
45830,0.249,0.782,0.261,0.539,0.874,0.231,0.966,486,1060
45831,0.566,0.395,0.434,0.831,0.664,0.249,0.212,836,1003
45832,0.197,0.685,0.639,0.965,0.649,0.61,0.552,483,867
45833,0.179,0.832,0.761,0.463,0.221,0.652,0.16,142,1149
45834,0.329,0.218,0.443,0.129,0.392,0.918,0.273,77,1292
45835,0.656,0.345,0.826,0.209,0.577,0.744,0.678,653,1835
45836,0.529,0.272,0.014,0.136,0.861,0.53,0.352,786,1074
45837,0.339,0.501,0.022,0.91,0.736,0.506,0.355,663,827
45838,0.163,0.465,0.863,0.297,0.221,0.974,0.855,805,1617
45839,0.486,0.166,0.154,0.467,0.589,0.08,0.384,188,894
45840,0.399,0.634,0.932,0.639,0.679,0.715,0.815,341,1940
45841,0.523,0.631,0.365,0.196,0.415,0.063,0.777,294,919
45842,0.372,0.486,0.54,0.247,0.717,0.431,0.536,689,1180
45843,0.875,0.57,0.029,0.87,0.323,0.345,0.543,784,1930
45844,0.178,0.507,0.473,0.768,0.881,0.336,0.891,420,1689
45845,0.377,0.963,0.404,0.471,0.299,0.163,0.049,935,1137
45846,0.556,0.837,0.635,0.038,0.815,0.733,0.383,900,1723
45847,0.24,0.476,0.356,0.999,0.579,0.418,0.113,168,451
45848,0.594,0.428,0.06,0.912,0.227,0.584,0.845,183,1848
45849,0.794,0.29,0.666,0.793,0.448,0.591,0.305,732,1072
45850,0.338,0.215,0.572,0.501,0.807,0.393,0.949,261,1298
45851,0.186,0.606,0.894,0.218,0.698,0.938,0.027,633,754
45852,0.034,0.647,0.45,0.032,0.838,0.882,0.633,254,1285
45853,0.811,0.839,0.293,0.797,0.618,0.512,0.623,858,1747
45854,0.405,0.983,0.146,0.57,0.467,0.76,0.77,473,749
45855,0.596,0.949,0.348,0.896,0.756,0.132,0.718,907,992
45856,0.658,0.809,0.479,0.844,0.012,0.349,0.14,448,1912
45857,0.248,0.656,0.911,0.096,0.541,0.38,0.552,216,2000
45858,0.774,0.384,0.466,0.04,0.264,0.025,0.986,376,1678
45859,0.192,0.038,0.745,0.957,0.972,0.132,0.437,714,1580
45860,0.475,0.79,0.263,0.078,0.245,0.385,0.807,757,1709
45861,0.051,0.992,0.523,0.705,0.49,0.287,0.54,337,1401
45862,0.472,0.801,0.102,0.433,0.255,0.595,0.466,984,1835
45863,0.898,0.26,0.004,0.739,0.718,0.617,0.826,209,1649
45864,0.978,0.837,0.551,0.561,0.379,0.072,0.894,136,883
45865,0.135,0.22,0.675,0.416,0.387,0.485,0.676,164,792
45866,0.474,0.127,0.684,0.271,0.264,0.263,0.122,572,1126
45867,0.722,0.103,0.432,0.248,0.94,0.484,0.964,731,837
45868,0.188,0.081,0.949,0.006,0.23,0.429,0.094,173,1134
45869,0.985,0.335,0.597,0.264,0.566,0.292,0.524,5,1421
45870,0.124,0.55,0.382,0.659,0.774,0.663,0.326,328,1697
45871,0.861,0.654,0.314,0.321,0.451,0.124,0.363,275,1598
45872,0.053,0.938,0.153,0.552,0.443,0.114,0.262,735,1243
45873,0.615,0.728,0.468,0.899,0.124,0.144,0.308,897,1508
45874,0.894,0.902,0.183,0.462,0.675,0.978,0.022,148,1548
45875,0.036,0.256,0.228,0.891,0.152,0.605,0.233,781,1216
45876,0.26,0.545,0.259,0.434,0.912,0.197,0.987,85,1202
45877,0.156,0.394,0.589,0.446,0.161,0.569,0.634,712,1429
45878,0.762,0.111,0.295,0.356,0.704,0.146,0.413,346,1384
45879,0.508,0.13,0.248,0.612,0.575,0.541,0.948,743,1284
45880,0.238,0.215,0.53,0.797,0.609,0.495,0.516,644,961
45881,0.526,0.726,0.992,0.995,0.862,0.491,0.543,392,749
45882,0.481,0.352,0.958,0.834,0.274,0.397,0.849,218,1322
45883,0.339,0.203,0.496,0.795,0.955,0.252,0.853,344,1918
45884,0.136,0.057,0.916,0.254,0.843,0.172,0.366,297,322
45885,0.044,0.293,0.836,0.911,0.322,0.358,0.44,499,670
45886,0.699,0.814,0.269,0.892,0.357,0.312,0.277,994,1978
45887,0.825,0.665,0.886,0.807,0.544,0.861,0.807,418,1034
45888,0.434,0.502,0.468,0.18,0.153,0.714,0.765,515,1132
45889,0.539,0.287,0.438,0.481,0.668,0.293,0.945,458,1013
45890,0.527,0.295,0.038,0.27,0.961,0.623,0.75,718,1548
45891,0.711,0.071,0.753,0.396,0.385,0.18,0.479,41,1931
45892,0.459,0.16,0.32,0.99,0.537,0.886,0.208,906,1239
45893,0.014,0.572,0.738,0.469,0.29,0.202,0.742,515,588
45894,0.05,0.684,0.886,0.312,0.175,0.421,0.071,198,1439
45895,0.994,0.121,0.526,0.322,0.645,0.858,0.815,783,1898
45896,0.277,0.447,0.278,0.275,0.62,0.18,0.676,164,869
45897,0.301,0.664,0.06,0.307,0.155,0.745,0.328,73,956
45898,0.593,0.219,0.83,0.304,0.129,0.453,0.694,154,1692
45899,0.033,0.991,0.295,0.166,0.443,0.501,0.275,728,1908
45900,0.238,0.014,0.235,0.408,0.407,0.387,0.888,818,1977
45901,0.361,0.42,0.146,0.168,0.752,0.803,0.5,772,900
45902,0.982,0.162,0.097,0.943,0.439,0.59,0.021,485,1105
45903,0.159,0.676,0.423,0.412,0.179,0.783,0.842,355,362
45904,0.369,0.822,0.803,0.793,0.218,0.129,0.7,225,1409
45905,0.71,0.835,0.233,0.202,0.554,0.255,0.819,800,1100
45906,0.12,0.546,0.585,0.763,0.177,0.682,0.744,15,1279
45907,0.698,0.081,0.504,0.199,0.072,0.678,0.405,931,1823
45908,0.191,0.574,0.069,0.933,0.251,0.897,0.219,795,1131
45909,0.226,0.466,0.462,0.211,0.628,0.5,0.381,700,1452
45910,0.238,0.38,0.521,0.173,0.873,0.619,0.068,622,1681
45911,0.924,0.49,0.758,0.124,0.152,0.191,0.673,36,473
45912,0.777,0.769,0.666,0.183,0.505,0.404,0.069,338,935
45913,0.82,0.744,0.373,0.859,0.243,0.078,0.911,720,1647
45914,0.842,0.079,0.192,0.455,0.211,0.72,0.826,569,1704
45915,0.923,0.118,0.45,0.036,0.708,0.277,0.255,958,1901
45916,0.59,0.269,0.732,0.12,0.48,0.425,0.238,286,1931
45917,0.763,0.347,0.313,0.954,0.327,0.309,0.303,41,1199
45918,0.537,0.871,0.491,0.88,0.157,0.845,0.402,114,1976
45919,0.377,0.978,0.689,0.062,0.956,0.095,0.141,909,1144
45920,0.528,0.173,0.473,0.714,0.924,0.526,0.974,288,467
45921,0.972,0.025,0.793,0.347,0.476,0.532,0.189,167,1925
45922,0.188,0.571,0.982,0.471,0.878,0.25,0.685,445,1356
45923,0.13,0.398,0.23,0.095,0.069,0.788,0.547,605,1290
45924,0.949,0.772,0.085,0.23,0.934,0.126,0.969,733,1977
45925,0.283,0.493,0.394,0.112,0.601,0.558,0.946,938,1109
45926,0.593,0.957,0.384,0.018,0.434,0.461,0.003,896,1716
45927,0.742,0.282,0.714,0.671,0.608,0.207,0.912,123,1902
45928,0.498,0.376,0.811,0.819,0.268,0.471,0.618,265,365
45929,0.708,0.766,0.017,0.014,0.586,0.56,0.104,220,1147
45930,0.729,0.59,0.083,0.199,0.566,0.252,0.801,474,494
45931,0.808,0.131,0.665,0.902,0.036,0.481,0.054,402,435
45932,0.318,0.34,0.353,0.106,0.473,0.501,0.469,778,1581
45933,0.052,0.425,0.422,0.93,0.39,0.838,0.373,385,995
45934,0.16,0.472,0.417,0.979,0.389,0.868,0.4,251,882
45935,0.601,0.596,0.839,0.498,0.523,0.665,0.295,955,1916
45936,0.731,0.405,0.61,0.635,0.0,0.877,0.373,556,1446
45937,0.705,0.033,0.72,0.602,0.067,0.193,0.501,542,1935
