id,t,u,v,w,x,ts_in,ts_out
43050,0.728,0.194,0.152,0.152,0.459,70,662
43051,0.726,0.206,0.152,0.137,0.455,342,730
43052,0.725,0.211,0.106,0.122,0.451,34,827
43053,0.724,0.214,0.061,0.107,0.447,527,1262
43054,0.724,0.231,0.061,0.091,0.443,743,1035
43055,0.723,0.275,0.136,0.077,0.438,228,1998
43056,0.722,0.292,0.212,0.061,0.434,834,842
43057,0.719,0.303,0.242,0.048,0.43,655,784
43058,0.717,0.314,0.212,0.03,0.426,778,1033
43059,0.716,0.297,0.167,0.021,0.422,88,762
43060,0.715,0.181,0.152,0.0,0.417,433,1698
43061,0.713,0.056,0.167,0.0,0.413,703,1581
43062,0.713,0.964,0.197,0.021,0.409,231,1759
43063,0.714,0.944,0.197,0.03,0.405,241,1228
43064,0.715,0.947,0.167,0.048,0.4,465,783
43065,0.715,0.961,0.091,0.061,0.396,546,860
43066,0.715,0.153,0.061,0.077,0.392,505,1857
43067,0.715,0.244,0.106,0.091,0.388,290,2000
43068,0.713,0.256,0.106,0.107,0.384,486,1393
43069,0.712,0.214,0.136,0.122,0.379,32,1411
43070,0.71,0.15,0.136,0.107,0.375,489,977
43071,0.71,0.119,0.136,0.086,0.371,532,624
43072,0.709,0.161,0.197,0.064,0.367,199,1358
43073,0.707,0.172,0.212,0.043,0.363,880,965
43074,0.706,0.167,0.167,0.021,0.358,90,1244
43075,0.704,0.05,0.106,0.0,0.354,555,1787
43076,0.705,0.006,0.136,0.021,0.35,980,1196
43077,0.704,0.011,0.152,0.043,0.346,187,1267
43078,0.705,0.925,0.152,0.064,0.341,758,1863
43079,0.706,0.981,0.091,0.086,0.337,353,1621
43080,0.705,0.15,0.091,0.107,0.333,391,866
43081,0.704,0.1,0.061,0.129,0.329,294,759
43082,0.704,0.933,0.045,0.15,0.325,269,1528
43083,0.705,0.375,0.015,0.172,0.32,915,974
43084,0.704,0.539,0.03,0.183,0.316,618,1357
43085,0.705,0.175,0.015,0.168,0.312,408,1870
43086,0.704,0.144,0.091,0.155,0.308,500,1230
43087,0.703,0.117,0.091,0.144,0.303,913,1069
43088,0.703,0.156,0.076,0.136,0.299,436,1024
43089,0.702,0.153,0.061,0.125,0.295,293,527
43090,0.702,0.153,0.061,0.116,0.291,224,994
43091,0.701,0.261,0.045,0.11,0.287,935,1155
43092,0.701,0.386,0.076,0.107,0.282,269,1170
43093,0.701,0.464,0.076,0.107,0.278,230,807
43094,0.701,0.556,0.076,0.096,0.274,306,1211
43095,0.701,0.414,0.061,0.089,0.27,622,1982
43096,0.7,0.414,0.045,0.086,0.266,231,1417
43097,0.701,0.672,0.076,0.086,0.261,291,877
43098,0.701,0.575,0.045,0.089,0.257,132,889
43099,0.701,0.475,0.076,0.096,0.253,484,1690
43100,0.701,0.586,0.106,0.107,0.249,589,1571
43101,0.702,0.586,0.106,0.107,0.244,511,595
43102,0.703,0.444,0.106,0.107,0.24,205,1577
43103,0.701,0.444,0.152,0.107,0.236,611,1077
43104,0.701,0.525,0.182,0.11,0.232,950,1194
43105,0.702,0.539,0.182,0.116,0.228,765,1084
43106,0.702,0.542,0.182,0.125,0.223,724,1491
43107,0.703,0.539,0.182,0.129,0.219,406,814
43108,0.703,0.561,0.197,0.13,0.215,204,728
43109,0.704,0.608,0.212,0.136,0.211,100,1818
43110,0.706,0.6,0.167,0.144,0.207,146,439
43111,0.706,0.422,0.106,0.155,0.202,134,620
43112,0.705,0.311,0.167,0.163,0.198,89,1025
43113,0.703,0.314,0.152,0.173,0.194,305,1783
43114,0.702,0.411,0.045,0.183,0.19,75,1043
43115,0.702,0.169,0.03,0.192,0.185,94,829
43116,0.701,0.197,0.212,0.198,0.181,650,1416
43117,0.698,0.208,0.273,0.204,0.177,93,313
43118,0.696,0.217,0.273,0.211,0.173,34,1232
43119,0.693,0.214,0.303,0.221,0.169,339,1579
43120,0.691,0.206,0.333,0.232,0.164,798,1094
43121,0.688,0.208,0.303,0.228,0.16,802,1314
43122,0.685,0.225,0.227,0.213,0.156,526,712
43123,0.684,0.256,0.212,0.198,0.152,933,1286
43124,0.681,0.261,0.227,0.183,0.148,806,1326
43125,0.679,0.25,0.212,0.168,0.143,997,1347
43126,0.678,0.233,0.212,0.155,0.139,938,1914
43127,0.676,0.236,0.227,0.144,0.135,777,1682
43128,0.674,0.253,0.197,0.136,0.131,134,1801
43129,0.672,0.267,0.152,0.122,0.126,231,889
43130,0.672,0.269,0.167,0.107,0.122,833,1224
43131,0.67,0.281,0.212,0.091,0.118,958,997
43132,0.668,0.292,0.227,0.077,0.114,6,469
43133,0.665,0.303,0.258,0.061,0.11,816,1031
43134,0.663,0.328,0.273,0.048,0.106,991,1312
43135,0.661,0.353,0.303,0.03,0.101,324,1026
43136,0.658,0.375,0.288,0.021,0.097,912,1486
43137,0.657,0.375,0.227,0.021,0.093,297,571
43138,0.655,0.344,0.167,0.0,0.089,324,1053
43139,0.653,0.325,0.106,0.0,0.084,372,1397
43140,0.653,0.317,0.076,0.021,0.08,87,914
43141,0.652,0.342,0.076,0.021,0.076,736,1408
43142,0.652,0.383,0.106,0.021,0.072,190,1584
43143,0.651,0.389,0.121,0.021,0.068,680,1678
43144,0.65,0.339,0.091,0.021,0.063,559,1002
43145,0.65,0.258,0.076,0.021,0.059,696,1290
43146,0.649,0.242,0.136,0.021,0.055,875,1724
43147,0.647,0.239,0.106,0.021,0.051,875,1757
43148,0.647,0.236,0.091,0.021,0.047,532,1315
43149,0.646,0.239,0.091,0.0,0.042,480,1076
43150,0.848,0.167,0.152,0.347,0.543,400,1839
43151,0.845,0.208,0.258,0.367,0.545,950,1375
43152,0.842,0.2,0.273,0.387,0.547,966,1165
43153,0.84,0.186,0.212,0.407,0.549,79,475
43154,0.839,0.203,0.197,0.428,0.551,848,942
43155,0.837,0.217,0.227,0.448,0.552,254,1248
43156,0.835,0.197,0.152,0.469,0.554,638,1202
43157,0.834,0.206,0.106,0.49,0.556,2,774
43158,0.833,0.264,0.091,0.51,0.559,228,517
43159,0.832,0.375,0.015,0.531,0.56,91,1271
43160,0.833,0.375,0.015,0.552,0.563,671,1321
43161,0.832,0.281,0.061,0.573,0.565,823,1104
43162,0.832,0.05,0.03,0.594,0.567,220,425
43163,0.832,0.875,0.076,0.615,0.569,695,1583
43164,0.832,0.764,0.076,0.624,0.571,204,526
43165,0.833,0.542,0.045,0.626,0.573,635,1386
43166,0.833,0.294,0.121,0.628,0.576,911,1439
43167,0.832,0.244,0.106,0.632,0.578,708,1129
43168,0.832,0.194,0.121,0.636,0.58,792,1897
43169,0.83,0.186,0.182,0.641,0.582,942,1544
43170,0.828,0.136,0.197,0.646,0.585,279,836
43171,0.826,0.103,0.212,0.652,0.587,132,1508
43172,0.826,0.003,0.167,0.659,0.589,904,1260
43173,0.826,0.892,0.152,0.654,0.592,510,1353
43174,0.827,0.892,0.136,0.641,0.594,292,561
43175,0.828,0.861,0.167,0.627,0.596,523,1140
43176,0.83,0.828,0.167,0.614,0.599,913,1254
43177,0.831,0.825,0.212,0.602,0.601,51,869
43178,0.833,0.853,0.212,0.59,0.604,955,1585
43179,0.834,0.906,0.197,0.578,0.606,598,861
43180,0.835,0.953,0.197,0.567,0.609,236,768
43181,0.835,0.964,0.197,0.554,0.611,948,1147
43182,0.836,0.008,0.197,0.542,0.614,491,1429
43183,0.835,0.033,0.227,0.53,0.616,430,1380
43184,0.835,0.992,0.212,0.52,0.619,446,1756
43185,0.835,0.019,0.197,0.509,0.621,902,1482
43186,0.835,0.022,0.197,0.5,0.624,566,1655
43187,0.835,0.989,0.197,0.49,0.627,342,597
43188,0.835,0.022,0.227,0.48,0.629,404,1267
43189,0.834,0.039,0.227,0.471,0.632,820,1071
43190,0.834,0.047,0.197,0.461,0.635,366,942
43191,0.833,0.05,0.212,0.452,0.637,756,1494
43192,0.833,0.081,0.258,0.442,0.64,246,900
43193,0.831,0.111,0.303,0.435,0.643,184,351
43194,0.829,0.1,0.288,0.428,0.646,286,1930
43195,0.827,0.097,0.288,0.422,0.648,239,374
43196,0.826,0.075,0.242,0.417,0.651,357,372
43197,0.826,0.039,0.212,0.41,0.654,618,1369
43198,0.825,0.056,0.227,0.395,0.657,404,1170
43199,0.824,0.094,0.258,0.38,0.66,195,402
43200,0.822,0.114,0.303,0.364,0.662,614,724
43201,0.82,0.119,0.318,0.349,0.665,941,1848
43202,0.818,0.1,0.303,0.336,0.668,394,987
43203,0.817,0.061,0.288,0.322,0.671,540,927
43204,0.816,0.058,0.318,0.31,0.674,216,488
43205,0.815,0.086,0.364,0.298,0.677,770,1360
43206,0.813,0.111,0.379,0.288,0.68,710,1457
43207,0.81,0.122,0.379,0.279,0.683,622,1230
43208,0.808,0.111,0.364,0.269,0.686,42,711
43209,0.806,0.078,0.333,0.251,0.688,316,1776
43210,0.805,0.075,0.364,0.231,0.691,406,1366
43211,0.803,0.122,0.439,0.211,0.695,144,758
43212,0.799,0.144,0.439,0.192,0.697,376,1356
43213,0.795,0.131,0.364,0.173,0.701,827,844
43214,0.793,0.114,0.333,0.155,0.704,605,1953
43215,0.791,0.119,0.348,0.137,0.707,409,559
43216,0.789,0.136,0.364,0.122,0.71,961,962
43217,0.786,0.153,0.379,0.107,0.713,811,1547
43218,0.783,0.156,0.364,0.091,0.716,70,104
43219,0.78,0.164,0.318,0.077,0.719,803,1229
43220,0.778,0.192,0.348,0.061,0.722,760,1545
43221,0.774,0.208,0.364,0.048,0.725,613,918
43222,0.771,0.222,0.318,0.043,0.728,33,1043
43223,0.769,0.236,0.273,0.03,0.729,267,368
43224,0.766,0.211,0.212,0.021,0.731,90,134
43225,0.764,0.15,0.136,0.0,0.732,541,716
43226,0.763,0.114,0.136,0.0,0.732,167,487
43227,0.763,0.033,0.121,0.021,0.733,937,1766
43228,0.763,0.044,0.121,0.021,0.734,784,1472
43229,0.762,0.119,0.136,0.021,0.735,51,830
43230,0.762,0.986,0.076,0.03,0.736,463,1072
43231,0.763,0.0,0.045,0.021,0.737,790,1503
43232,0.763,0.175,0.045,0.021,0.738,543,590
43233,0.762,0.592,0.106,0.061,0.748,484,542
43234,0.763,0.65,0.182,0.077,0.749,582,1735
43235,0.765,0.597,0.242,0.091,0.75,911,1498
43236,0.766,0.553,0.258,0.107,0.752,525,1136
43237,0.767,0.564,0.242,0.125,0.753,874,1478
43238,0.768,0.564,0.227,0.144,0.754,875,1578
43239,0.769,0.536,0.212,0.152,0.755,820,845
43240,0.769,0.472,0.197,0.156,0.756,677,1392
43241,0.768,0.467,0.182,0.163,0.757,922,1743
43242,0.768,0.533,0.182,0.172,0.759,262,1632
43243,0.769,0.489,0.197,0.173,0.76,763,1968
43244,0.768,0.483,0.212,0.177,0.761,515,573
43245,0.768,0.542,0.227,0.183,0.763,585,1088
43246,0.769,0.544,0.242,0.192,0.764,170,600
43247,0.769,0.564,0.212,0.198,0.765,657,1489
43248,0.77,0.661,0.227,0.204,0.766,468,1020
43249,0.773,0.694,0.152,0.211,0.768,668,1038
43250,0.773,0.672,0.061,0.221,0.769,968,1266
43251,0.774,0.625,0.045,0.232,0.771,329,568
43252,0.774,0.664,0.212,0.258,0.774,913,1840
43253,0.777,0.597,0.167,0.273,0.775,206,1312
43254,0.776,0.467,0.152,0.289,0.777,286,1852
43255,0.776,0.519,0.182,0.304,0.778,533,1904
43256,0.776,0.469,0.197,0.319,0.78,344,469
43257,0.775,0.453,0.167,0.325,0.781,598,1905
43258,0.775,0.486,0.136,0.329,0.783,114,724
43259,0.775,0.561,0.136,0.334,0.784,793,836
43260,0.776,0.592,0.167,0.339,0.786,175,1068
43261,0.777,0.578,0.167,0.347,0.788,108,1461
43262,0.778,0.556,0.152,0.356,0.789,832,1438
43263,0.778,0.489,0.152,0.365,0.791,186,1714
43264,0.778,0.447,0.136,0.375,0.793,447,771
43265,0.777,0.45,0.106,0.384,0.794,508,1513
43266,0.777,0.478,0.076,0.394,0.796,550,828
43267,0.777,0.336,0.152,0.405,0.798,599,698
43268,0.774,0.375,0.182,0.417,0.8,632,1053
43269,0.774,0.486,0.152,0.429,0.801,420,1818
43270,0.774,0.494,0.106,0.442,0.803,793,909
43271,0.774,0.583,0.121,0.457,0.805,283,593
43272,0.775,0.597,0.167,0.471,0.807,197,794
43273,0.776,0.614,0.212,0.486,0.809,95,437
43274,0.778,0.633,0.212,0.501,0.811,652,1162
43275,0.779,0.625,0.136,0.516,0.813,233,304
43276,0.78,0.672,0.121,0.532,0.814,627,1145
43277,0.781,0.65,0.091,0.547,0.816,734,1252
43278,0.781,0.633,0.106,0.56,0.818,187,676
43279,0.782,0.683,0.136,0.572,0.82,915,1848
43280,0.784,0.706,0.167,0.58,0.822,298,385
43281,0.786,0.617,0.091,0.558,0.824,300,1488
43282,0.785,0.592,0.121,0.537,0.826,282,328
43283,0.787,0.581,0.182,0.515,0.828,209,519
43284,0.786,0.544,0.227,0.494,0.83,938,942
43285,0.788,0.556,0.273,0.472,0.832,222,430
43286,0.788,0.564,0.258,0.451,0.834,0,946
43287,0.791,0.569,0.273,0.408,0.839,66,537
43288,0.792,0.533,0.242,0.387,0.841,927,1463
43289,0.792,0.478,0.197,0.365,0.843,796,1507
43290,0.792,0.422,0.152,0.344,0.845,919,928
43291,0.791,0.325,0.212,0.322,0.847,126,1276
43292,0.788,0.283,0.288,0.301,0.85,976,1779
43293,0.785,0.278,0.379,0.279,0.852,504,1919
43294,0.78,0.281,0.409,0.258,0.854,509,1386
43295,0.777,0.286,0.364,0.236,0.856,998,1465
43296,0.774,0.292,0.364,0.215,0.858,62,1181
43297,0.77,0.3,0.379,0.193,0.861,343,706
43298,0.767,0.308,0.379,0.172,0.863,976,1780
43299,0.763,0.308,0.379,0.15,0.865,369,1013
43300,0.76,0.306,0.364,0.129,0.868,794,1519
43301,0.757,0.3,0.303,0.107,0.87,485,780
43302,0.754,0.272,0.318,0.086,0.872,170,1582
43303,0.751,0.25,0.379,0.064,0.875,939,1886
43304,0.747,0.233,0.333,0.043,0.877,213,504
43305,0.745,0.217,0.227,0.021,0.879,246,1716
43306,0.743,0.019,0.091,0.0,0.882,167,1185
43307,0.745,0.856,0.258,0.021,0.884,322,377
43308,0.747,0.861,0.333,0.043,0.886,571,1320
43309,0.75,0.894,0.318,0.048,0.889,40,722
43310,0.751,0.922,0.288,0.061,0.888,248,383
43311,0.752,0.892,0.288,0.077,0.884,166,1944
43312,0.754,0.875,0.258,0.086,0.88,765,884
43313,0.756,0.864,0.227,0.089,0.877,1,502
43314,0.757,0.875,0.197,0.096,0.873,638,653
43315,0.758,0.875,0.197,0.107,0.869,928,1861
43316,0.76,0.875,0.212,0.122,0.865,10,1984
43317,0.761,0.914,0.197,0.137,0.861,946,1491
43318,0.762,0.936,0.227,0.152,0.858,672,1551
43319,0.763,0.911,0.288,0.168,0.854,71,209
43320,0.764,0.881,0.333,0.183,0.85,905,1544
43321,0.767,0.906,0.318,0.198,0.846,788,1273
43322,0.768,0.928,0.333,0.215,0.843,351,1658
43323,0.769,0.903,0.379,0.232,0.839,503,644
43324,0.772,0.883,0.409,0.251,0.835,738,1003
43325,0.775,0.881,0.379,0.269,0.831,712,1044
43326,0.777,0.892,0.333,0.288,0.828,973,988
43327,0.779,0.9,0.303,0.305,0.824,537,1977
43328,0.782,0.892,0.288,0.328,0.816,777,1501
43329,0.786,0.861,0.182,0.352,0.809,126,425
43330,0.786,0.153,0.091,0.366,0.805,785,1836
43331,0.785,0.219,0.152,0.38,0.802,752,1091
43332,0.784,0.228,0.106,0.395,0.798,585,1307
43333,0.783,0.228,0.106,0.41,0.794,69,749
43334,0.782,0.164,0.121,0.423,0.791,603,1871
43335,0.781,0.056,0.121,0.432,0.787,334,1547
43336,0.781,0.0,0.121,0.442,0.783,66,1947
43337,0.781,0.061,0.121,0.452,0.78,839,1131
43338,0.78,0.006,0.091,0.461,0.776,770,1171
43339,0.781,0.828,0.121,0.472,0.772,450,1862
43340,0.783,0.958,0.045,0.482,0.769,540,1188
43341,0.781,0.208,0.106,0.495,0.765,749,1172
43342,0.78,0.175,0.045,0.507,0.761,10,1426
43343,0.78,0.175,0.045,0.52,0.758,661,871
43344,0.78,0.203,0.076,0.53,0.754,774,1586
43345,0.779,0.181,0.061,0.51,0.75,840,1532
43346,0.779,0.125,0.061,0.49,0.747,52,804
43347,0.779,0.028,0.061,0.471,0.743,278,1698
43348,0.779,0.0,0.076,0.452,0.739,23,1283
43349,0.779,0.019,0.091,0.432,0.736,916,1468
43350,0.779,0.103,0.152,0.413,0.732,951,1214
43351,0.777,0.092,0.167,0.394,0.729,27,1486
43352,0.777,0.014,0.136,0.376,0.725,641,1926
43353,0.777,0.119,0.167,0.357,0.722,999,1348
43354,0.774,0.15,0.197,0.339,0.718,58,1833
43355,0.774,0.108,0.152,0.322,0.714,628,1877
43356,0.773,0.097,0.167,0.305,0.711,885,1773
43357,0.772,0.061,0.197,0.289,0.707,27,334
43358,0.772,0.008,0.197,0.273,0.704,813,928
43359,0.772,0.997,0.167,0.258,0.7,951,1490
43360,0.772,0.061,0.182,0.245,0.697,593,912
43361,0.77,0.047,0.227,0.232,0.693,180,1379
43362,0.77,0.003,0.212,0.221,0.69,725,1608
43363,0.77,0.003,0.167,0.211,0.686,339,1246
43364,0.77,0.956,0.136,0.204,0.683,440,1667
43365,0.771,0.058,0.106,0.198,0.679,879,1584
43366,0.769,0.139,0.167,0.195,0.676,400,802
43367,0.769,0.103,0.152,0.193,0.672,97,1607
43368,0.768,0.094,0.076,0.193,0.669,130,1432
43369,0.768,0.25,0.045,0.195,0.665,438,1754
43370,0.767,0.225,0.091,0.198,0.662,860,917
43371,0.766,0.064,0.091,0.204,0.659,589,1686
43372,0.767,0.025,0.152,0.211,0.655,664,1737
43373,0.766,0.028,0.167,0.221,0.652,956,1221
43374,0.766,0.0,0.136,0.232,0.648,998,1725
43375,0.766,0.0,0.106,0.245,0.645,747,1628
43376,0.766,0.081,0.076,0.258,0.642,220,1140
43377,0.765,0.197,0.152,0.273,0.638,920,1632
43378,0.763,0.164,0.121,0.289,0.635,736,830
43379,0.763,0.097,0.121,0.305,0.631,309,872
43380,0.763,0.092,0.152,0.292,0.628,295,549
43381,0.762,0.092,0.152,0.28,0.625,687,1005
43382,0.761,0.033,0.121,0.269,0.621,441,969
43383,0.762,0.986,0.136,0.251,0.618,22,145
43384,0.761,0.047,0.152,0.231,0.615,73,1869
43385,0.761,0.075,0.167,0.211,0.612,732,1513
43386,0.76,0.139,0.182,0.192,0.608,805,1713
43387,0.758,0.2,0.182,0.173,0.605,70,1222
43388,0.757,0.297,0.152,0.155,0.602,83,668
43389,0.756,0.364,0.197,0.137,0.599,543,1406
43390,0.754,0.4,0.212,0.122,0.595,312,1874
43391,0.753,0.4,0.227,0.107,0.592,990,1285
43392,0.752,0.364,0.258,0.089,0.589,874,1068
43393,0.75,0.336,0.288,0.068,0.586,980,1253
43394,0.747,0.325,0.258,0.048,0.583,849,931
43395,0.746,0.294,0.227,0.03,0.579,109,794
43396,0.743,0.25,0.136,0.021,0.576,943,1521
43397,0.743,0.95,0.061,0.0,0.573,830,1073
43398,0.744,0.019,0.091,0.0,0.57,385,740
43399,0.743,0.017,0.106,0.021,0.567,189,1584
43400,0.743,0.881,0.182,0.03,0.564,77,1288
43401,0.745,0.875,0.197,0.048,0.561,409,1861
43402,0.746,0.875,0.197,0.068,0.558,659,968
43403,0.747,0.839,0.227,0.089,0.555,849,1244
43404,0.749,0.794,0.242,0.11,0.551,303,1980
43405,0.752,0.781,0.227,0.13,0.548,289,869
43406,0.753,0.792,0.121,0.152,0.545,207,1167
43407,0.754,0.75,0.136,0.168,0.543,943,1326
43408,0.757,0.639,0.061,0.185,0.54,339,1945
43409,0.755,0.286,0.182,0.183,0.537,920,1531
43410,0.753,0.258,0.273,0.163,0.534,815,1250
43411,0.75,0.258,0.242,0.144,0.531,940,1389
43412,0.748,0.278,0.167,0.125,0.528,476,609
43413,0.747,0.239,0.106,0.107,0.525,791,1680
43414,0.747,0.15,0.136,0.091,0.522,197,1388
43415,0.745,0.169,0.258,0.077,0.519,381,1066
43416,0.742,0.031,0.152,0.068,0.516,454,1574
43417,0.744,0.906,0.182,0.064,0.514,433,1436
43418,0.744,0.978,0.182,0.064,0.511,295,1564
43419,0.745,0.028,0.212,0.068,0.508,291,1798
43420,0.744,0.05,0.212,0.077,0.505,262,320
43421,0.744,0.05,0.197,0.089,0.502,168,1790
43422,0.742,0.106,0.197,0.096,0.5,87,1335
43423,0.741,0.058,0.167,0.107,0.497,602,1227
43424,0.741,0.058,0.182,0.122,0.494,920,1602
43425,0.74,0.108,0.227,0.136,0.492,875,1074
43426,0.739,0.133,0.258,0.144,0.489,659,883
43427,0.737,0.15,0.242,0.155,0.487,936,1670
43428,0.735,0.133,0.197,0.168,0.484,925,1579
43429,0.734,0.117,0.197,0.183,0.481,408,1198
43430,0.733,0.1,0.182,0.198,0.476,69,1282
43431,0.732,0.089,0.136,0.183,0.472,958,1857
43432,0.731,0.181,0.182,0.168,0.468,23,1680
43433,0.729,0.222,0.197,0.152,0.464,521,1085
43434,0.728,0.25,0.167,0.137,0.459,611,782
43435,0.726,0.275,0.152,0.122,0.455,794,1241
43436,0.725,0.3,0.121,0.107,0.451,392,1665
43437,0.724,0.344,0.076,0.091,0.447,183,696
43438,0.724,0.361,0.121,0.077,0.443,845,1556
43439,0.722,0.344,0.212,0.061,0.438,769,1083
43440,0.721,0.339,0.258,0.048,0.434,636,1775
43441,0.719,0.333,0.273,0.03,0.43,441,1848
43442,0.716,0.344,0.227,0.021,0.426,267,1309
43443,0.715,0.383,0.091,0.0,0.422,75,1720
43444,0.715,0.956,0.061,0.0,0.417,377,1151
43445,0.715,0.986,0.197,0.021,0.413,113,1310
43446,0.715,0.964,0.242,0.03,0.409,410,1681
43447,0.716,0.967,0.242,0.048,0.405,916,1386
43448,0.716,0.094,0.106,0.077,0.396,90,1309
43449,0.715,0.225,0.091,0.091,0.392,74,100
43450,0.714,0.275,0.136,0.107,0.388,223,1659
43451,0.713,0.275,0.091,0.122,0.384,480,779
43452,0.713,0.181,0.076,0.116,0.379,726,887
43453,0.712,0.156,0.106,0.096,0.375,816,1707
43454,0.711,0.194,0.121,0.077,0.371,229,630
43455,0.71,0.219,0.167,0.061,0.367,24,1291
43456,0.708,0.206,0.182,0.043,0.363,989,1963
43457,0.707,0.175,0.167,0.021,0.358,263,1663
43458,0.706,0.994,0.106,0.0,0.354,365,1687
43459,0.707,0.969,0.136,0.021,0.35,160,562
43460,0.706,0.036,0.136,0.043,0.346,979,1339
43461,0.706,0.95,0.106,0.064,0.341,425,1628
43462,0.707,0.036,0.076,0.086,0.337,375,1512
43463,0.706,0.133,0.106,0.107,0.333,633,1797
43464,0.705,0.017,0.091,0.129,0.329,697,1399
43465,0.705,0.022,0.106,0.15,0.325,793,1189
43466,0.704,0.089,0.091,0.172,0.32,8,264
43467,0.704,0.953,0.076,0.168,0.316,419,989
43468,0.705,0.956,0.091,0.152,0.312,997,1478
43469,0.705,0.067,0.121,0.137,0.308,435,1752
43470,0.704,0.131,0.121,0.125,0.303,81,1109
43471,0.703,0.167,0.106,0.116,0.299,723,1827
43472,0.703,0.111,0.061,0.107,0.295,520,1357
43473,0.703,0.189,0.076,0.096,0.291,936,1954
43474,0.702,0.294,0.121,0.089,0.287,495,1510
43475,0.701,0.381,0.121,0.086,0.282,632,1034
43476,0.7,0.506,0.091,0.086,0.278,13,1309
43477,0.7,0.603,0.076,0.077,0.274,58,589
43478,0.701,0.461,0.03,0.068,0.27,824,1180
43479,0.701,0.375,0.015,0.064,0.266,122,1277
43480,0.7,0.692,0.045,0.064,0.261,216,1781
43481,0.701,0.55,0.03,0.068,0.257,420,889
43482,0.701,0.389,0.061,0.077,0.253,446,983
43483,0.701,0.539,0.091,0.086,0.249,982,1573
43484,0.701,0.536,0.136,0.086,0.244,235,1660
43485,0.701,0.464,0.152,0.086,0.24,626,996
43486,0.7,0.417,0.136,0.086,0.236,452,1383
43487,0.699,0.506,0.121,0.089,0.232,82,1426
43488,0.7,0.542,0.167,0.096,0.228,198,1490
43489,0.701,0.539,0.182,0.107,0.223,63,1389
43490,0.701,0.569,0.167,0.107,0.219,704,1852
43491,0.701,0.619,0.136,0.11,0.215,605,1808
43492,0.703,0.65,0.167,0.116,0.211,787,1980
43493,0.704,0.6,0.152,0.125,0.207,292,1145
43494,0.705,0.483,0.136,0.136,0.202,65,212
43495,0.704,0.35,0.121,0.144,0.198,714,963
43496,0.702,0.264,0.121,0.155,0.194,623,773
43497,0.701,0.314,0.03,0.163,0.19,578,856
43498,0.703,0.656,0.03,0.173,0.185,171,1559
43499,0.703,0.192,0.152,0.177,0.181,60,674
43500,0.7,0.172,0.273,0.183,0.177,758,867
43501,0.698,0.156,0.288,0.192,0.173,415,1108
43502,0.695,0.15,0.333,0.203,0.169,544,1025
43503,0.692,0.161,0.364,0.215,0.164,136,1500
43504,0.689,0.175,0.364,0.213,0.16,785,1923
43505,0.686,0.183,0.303,0.198,0.156,132,1007
43506,0.684,0.186,0.242,0.183,0.152,523,1543
43507,0.682,0.175,0.242,0.168,0.148,235,569
43508,0.68,0.161,0.242,0.152,0.143,244,1117
43509,0.678,0.178,0.242,0.137,0.139,891,1486
43510,0.676,0.206,0.258,0.125,0.135,917,1278
43511,0.674,0.233,0.227,0.116,0.131,29,1404
43512,0.672,0.286,0.197,0.107,0.126,668,903
43513,0.671,0.333,0.242,0.091,0.122,730,1153
43514,0.668,0.35,0.273,0.077,0.118,328,1185
43515,0.666,0.347,0.288,0.061,0.114,58,1342
43516,0.664,0.342,0.303,0.048,0.11,890,1546
43517,0.662,0.342,0.303,0.03,0.105,312,1877
43518,0.659,0.328,0.273,0.021,0.101,872,1209
43519,0.656,0.3,0.167,0.0,0.097,237,1613
43520,0.656,0.172,0.091,0.0,0.093,710,1844
43521,0.655,0.064,0.152,0.0,0.089,826,1441
43522,0.655,0.05,0.212,0.0,0.084,514,1581
43523,0.654,0.053,0.212,0.0,0.08,762,1710
43524,0.654,0.075,0.197,0.0,0.076,629,1015
43525,0.652,0.094,0.197,0.0,0.072,513,1731
43526,0.652,0.069,0.167,0.0,0.067,676,1454
43527,0.651,0.039,0.152,0.0,0.063,751,1143
43528,0.651,0.061,0.167,0.0,0.059,388,771
43529,0.65,0.1,0.197,0.0,0.055,672,917
43530,0.649,0.089,0.197,0.0,0.051,405,1092
43531,0.648,0.075,0.197,0.0,0.046,973,1616
43532,0.647,0.078,0.197,0.0,0.042,243,1200
43533,0.848,0.222,0.136,0.356,0.539,437,1669
43534,0.845,0.214,0.242,0.375,0.541,178,1047
43535,0.843,0.186,0.242,0.395,0.543,737,1590
43536,0.841,0.172,0.242,0.414,0.545,19,597
43537,0.839,0.181,0.242,0.435,0.547,326,1284
43538,0.837,0.189,0.242,0.455,0.549,852,970
43539,0.835,0.158,0.167,0.475,0.551,136,680
43540,0.834,0.161,0.152,0.496,0.553,270,1094
43541,0.832,0.169,0.121,0.516,0.555,717,1100
43542,0.832,0.0,0.045,0.537,0.557,240,818
43543,0.832,0.064,0.061,0.558,0.559,310,949
43544,0.832,0.047,0.076,0.578,0.561,1,1084
43545,0.832,0.939,0.121,0.599,0.563,151,1367
43546,0.833,0.961,0.136,0.62,0.565,75,1272
43547,0.833,0.967,0.106,0.641,0.568,768,1400
43548,0.833,0.111,0.061,0.647,0.57,302,1265
43549,0.832,0.258,0.121,0.65,0.572,46,1728
43550,0.831,0.272,0.076,0.653,0.574,296,1627
43551,0.831,0.225,0.091,0.657,0.577,224,305
43552,0.829,0.189,0.136,0.661,0.579,371,664
43553,0.829,0.125,0.136,0.666,0.581,219,624
